Station_Name,Station_Id_C,Lat,Lon,Alti,Year,Mon,Day,Hour,TEM,DPT,RHU,PRE_1h,WIN_D_INST,WIN_S_INST,GST
东安,57867,26.4022,111.2886,169,2020,9,1,0,26.2,21.2,74,0,281,1.3,31
三江,57941,25.7833,109.6,197.3,2020,9,1,0,23.7,22,90,0,357,1.6,27.8
宜州,59034,24.4833,108.65,185.1,2020,9,1,0,25.2,24.2,94,0,233,1.5,31.2
炎陵,57886,26.4778,113.7919,268.8,2020,9,1,0,22.5,22.2,98,0,197,0.8,24.8
江安,57600,28.7119,105.0603,420.9,2020,9,1,0,20.7,19.7,94,0,259,1.6,25
兴仁,57902,25.4333,105.1833,1378.5,2020,9,1,0,19.3,18.1,93,0.1,316,1.3,23.6
万载,57698,28.1,114.4333,122.5,2020,9,1,0,26.5,22.8,80,0,29,2.9,29.9
剑河,57835,26.7333,108.4333,527.2,2020,9,1,0,21,19.5,91,0,289,0.8,25.5
玉屏,57739,27.2375,108.9181,394.8,2020,9,1,0,22.2,19.6,85,0,217,1.7,26.3
常山,58631,28.9,118.5,137,2020,9,1,0,27,23.7,82,0,325,1.7,34.4
桃江,57666,28.5061,112.1711,136.9,2020,9,1,0,25.3,25.1,99,0,319,2.3,28
习水,57614,28.3331,106.2164,1180.2001,2020,9,1,0,20.6,19.9,96,0,47,0.7,23.4
西林,59004,24.5,105.0833,827.1,2020,9,1,0,20.1,19.9,99,0,236,2.7,22.1
五华,59303,23.9114,115.7514,135.9,2020,9,1,0,27.7,24.7,84,0,185,1,30.6
道真,57623,28.8792,107.6,685.6,2020,9,1,0,23.5,20.4,83,0,48,0.8,27.4
井研,56390,29.6667,104.0667,404.4,2020,9,1,0,21.4,20.6,95,0,94,2,22.8
威远,56395,29.5167,104.6667,351.1,2020,9,1,0,22.6,20.3,87,0,132,1.2,24.6
德安,58508,29.35,115.7333,80.6,2020,9,1,0,27.2,23.2,79,0,284,2.2,31.3
青神,56383,29.8333,103.8667,455.2,2020,9,1,0,20.6,20.4,99,0,62,1.1,21.5
